symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HCLTECH,INE860A01027,2024-08-05,NSE,EQ,EQ,SELL,FALSE,8,1559.4,207051324,NA,NA
POONAWALLA,INE511C01022,2024-08-01,NSE,EQ,EQ,BUY,FALSE,5,367.65,403251538,NA,NA
NH,INE410P01011,2024-07-31,NSE,EQ,EQ,SELL,FALSE,1,1267.65,400445816,NA,NA
NH,INE410P01011,2024-07-31,NSE,EQ,EQ,SELL,FALSE,1,1267.65,400445817,NA,NA
NH,INE410P01011,2024-07-31,NSE,EQ,EQ,SELL,FALSE,8,1267.65,400445818,NA,NA
POONAWALLA,INE511C01022,2024-07-31,NSE,EQ,EQ,BUY,FALSE,1,374.15,402005721,NA,NA
POONAWALLA,INE511C01022,2024-07-31,NSE,EQ,EQ,BUY,FALSE,4,374.15,402005722,NA,NA
TATATECH,INE142M01025,2024-07-30,NSE,EQ,EQ,BUY,FALSE,3,1003.85,600979903,NA,NA
POONAWALLA,INE511C01022,2024-07-30,NSE,EQ,EQ,BUY,FALSE,4,383.9,401127586,NA,NA
POONAWALLA,INE511C01022,2024-07-29,NSE,EQ,EQ,BUY,FALSE,5,379.8,408124915,NA,NA
POONAWALLA,INE511C01022,2024-07-25,NSE,EQ,EQ,BUY,FALSE,10,369.5,406424230,NA,NA
NATIONALUM,INE139A01034,2024-07-23,NSE,EQ,EQ,BUY,FALSE,50,179.95,407267037,NA,NA
CYIENTDLM,INE055S01018,2024-07-23,NSE,EQ,EQ,BUY,FALSE,4,732.2,5740853,NA,NA
POONAWALLA,INE511C01022,2024-07-23,NSE,EQ,EQ,BUY,FALSE,10,388.65,407615485,NA,NA
BEARDSELL,INE520H01022,2024-07-23,NSE,EQ,EQ,BUY,FALSE,200,33.99,7562010,NA,NA
POONAWALLA,INE511C01022,2024-07-15,NSE,EQ,EQ,BUY,FALSE,20,404.1,408926185,NA,NA
HAPPSTMNDS,INE419U01012,2024-07-10,NSE,EQ,EQ,BUY,FALSE,5,817.0,202446364,NA,NA
GOLDIAM,INE025B01025,2024-07-10,NSE,EQ,EQ,SELL,FALSE,31,182.24,200060942,NA,NA
